"","Customer.ID","VAR_REP","MONTH","YEAR","BASKET_PRICE_MEAN_M-6","BASKET_PRICE_MIN_M-6","BASKET_PRICE_MAX_M-6","NB_BASKETS_M-6","QTY_TOTAL_PER_CMD_MOY_M-6","QTY_TOTAL_PER_CMD_MIN_M-6","QTY_TOTAL_PER_CMD_MAX_M-6","NB_PROD_PER_CMD_MOY_M-6","NB_PROD_PER_CMD_MIN_M-6","NB_PROD_PER_CMD_MAX_M-6","FREQ_ACHAT_M-6","NB_SKU_M-6","ITEM_PRICE_MAX_M-6","EXPENSES_M-6","NB_CANCELLED_M-6","EXPENSES_CANCELLED_M-6","PCT_EXP_CANCELLED_M-6","NB_CMD_MOST_FREQ_M-6","NB_SKU_FREQ_M-6","PCT_SKU_FREQ_M-6","EXPENSES_FREQ_M-6","PCT_EXP_FREQ_M-6"
"1",12346,1,7,2010,43.2266666666667,22.5,142.31,6,7.33333333333333,5,19,4.66666666666667,1,19,0.2,25,22.5,259.36,1,103.5,0.399059222702036,3,1,0.04,90,0.347008019740901
"2",12347,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",12348,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",12349,0,7,2010,634.26,200,1068.52,2,237,1,473,23.5,1,46,0.5,47,200,1268.52,0,0,0,1,0,0,0,0
"5",12350,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",12351,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",12352,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",12353,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",12354,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",12355,0,7,2010,488.21,488.21,488.21,1,303,303,303,22,22,22,1,22,59.4,488.21,0,0,0,1,0,0,0,0
"11",12356,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",12357,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",12358,0,7,2010,268.1,268.1,268.1,1,281,281,281,18,18,18,1,17,45,268.1,0,0,0,1,0,0,0,0
"14",12359,0,7,2010,391.046666666667,337.74,489.8,3,89.3333333333333,64,104,17.3333333333333,13,20,0.333333333333333,50,76.5,1173.14,2,15.8,0.0134681282711356,2,2,0.04,197.55,0.168394224048281
"15",12360,0,7,2010,260.013333333333,40,622.04,3,252,1,655,15,1,34,0.333333333333333,44,120,780.04,1,40,0.0512794215681247,2,1,0.0227272727272727,160,0.205117686272499
"16",12361,0,7,2010,103.675,98.15,109.2,2,41.5,38,45,6.5,6,7,0.5,11,17.7,207.35,0,0,0,2,2,0.181818181818182,63,0.303834096937545
"17",12362,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",12363,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",12364,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",12365,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",12366,0,7,2010,500.24,500.24,500.24,1,296,296,296,3,3,3,1,3,175.76,500.24,0,0,0,1,0,0,0,0
"22",12367,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",12368,0,7,2010,917.7,917.7,917.7,1,330,330,330,18,18,18,1,18,119.4,917.7,0,0,0,1,0,0,0,0
"24",12369,0,7,2010,348.32,348.32,348.32,1,209,209,209,9,9,9,1,9,148.72,348.32,0,0,0,1,0,0,0,0
"25",12370,0,7,2010,258.206666666667,70.6,562.96,3,84,21,172,11.6666666666667,3,25,0.5,33,160,774.62,0,0,0,2,1,0.0303030303030303,240,0.309829335674266
"26",12371,0,7,2010,303.84,286.8,320.88,2,126,81,171,17,17,17,1,32,80,607.68,0,0,0,1,0,0,0,0
"27",12372,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",12373,0,7,2010,381.525,325.15,437.9,2,159.5,111,208,18.5,16,21,0.5,31,80,763.05,0,0,0,2,6,0.193548387096774,329.1,0.431295459013171
"29",12374,0,7,2010,1388.54,1388.54,1388.54,1,798,798,798,36,36,36,1,36,78,1388.54,0,0,0,1,0,0,0,0
"30",12375,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",12376,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",12377,0,7,2010,1210.96,1210.96,1210.96,1,835,835,835,47,47,47,1,47,71.04,1210.96,0,0,0,1,0,0,0,0
"33",12378,0,7,2010,1407.7,1407.7,1407.7,1,787,787,787,82,82,82,1,82,39.95,1407.7,0,0,0,1,0,0,0,0
"34",12379,0,7,2010,367.48,367.48,367.48,1,163,163,163,18,18,18,1,18,45,367.48,0,0,0,1,0,0,0,0
"35",12380,1,7,2010,1072.43333333333,200,1508.65,3,206,1,616,17.6666666666667,1,51,0.5,53,1508.65,3217.3,1,1508.65,0.468918036863208,1,0,0,0,0
"36",12381,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",12382,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",12383,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",12384,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",12385,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",12386,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",12387,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",12388,0,7,2010,461.62,461.62,461.62,1,266,266,266,26,26,26,1,26,30,461.62,0,0,0,1,0,0,0,0
"44",12389,0,7,2010,281.515,164.85,398.18,2,126,67,185,13,6,20,0.5,23,103.95,563.03,0,0,0,2,3,0.130434782608696,218.7,0.388434008844999
"45",12390,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",12391,0,7,2010,475.5475,38.1,1000.5,4,188.25,6,387,24.5,1,48,0.333333333333333,96,151.2,1902.19,6,25.6,0.0134581718966034,2,2,0.0208333333333333,203.7,0.107087094349145
"47",12392,0,7,2010,234.75,234.75,234.75,1,73,73,73,7,7,7,1,7,70.8,234.75,0,0,0,1,0,0,0,0
"48",12393,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",12394,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",12395,0,7,2010,1125.44,1125.44,1125.44,1,734,734,734,52,52,52,1,52,90,1125.44,0,0,0,1,0,0,0,0
"51",12396,0,7,2010,931.43,931.43,931.43,1,591,591,591,65,65,65,1,65,19.9,931.43,0,0,0,1,0,0,0,0
"52",12397,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",12398,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",12399,1,7,2010,205.98,205.98,205.98,1,219,219,219,15,15,15,1,15,30,205.98,0,0,0,1,0,0,0,0
"55",12400,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",12401,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",12402,1,7,2010,252.675,191.7,313.65,2,127.5,87,168,14,11,17,0.5,22,35.4,505.35,1,12.75,0.0252300385871178,2,6,0.272727272727273,239.1,0.473137429504304
"58",12403,1,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",12404,0,7,2010,63.24,63.24,63.24,1,1,1,1,1,1,1,1,1,63.24,63.24,0,0,0,1,0,0,0,0
"60",12405,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",12406,0,7,2010,814.6,748,881.2,2,514,452,576,17.5,10,25,0.5,32,290,1629.2,0,0,0,2,3,0.09375,364.2,0.223545298305917
"62",12407,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",12408,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",12409,1,7,2010,3506.84,211.2,6802.48,2,2249,96,4402,44.5,2,87,0.5,87,187.5,7013.68,2,211.2,0.0301125799865406,2,2,0.0229885057471264,422.4,0.0602251599730812
"65",12410,1,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",12411,0,7,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
