"START","END","VARIABLES","IMPORTANCE"
2010-08-01,2010-09-01,"BASKET_PRICE_MEAN_M-6",109.487905672645
2010-08-01,2010-09-01,"BASKET_PRICE_MIN_M-6",99.1376207990821
2010-08-01,2010-09-01,"BASKET_PRICE_MAX_M-6",99.7098688094307
2010-08-01,2010-09-01,"NB_BASKETS_M-6",33.3410617752244
2010-08-01,2010-09-01,"QTY_TOTAL_PER_CMD_MOY_M-6",103.22580741382
2010-08-01,2010-09-01,"QTY_TOTAL_PER_CMD_MIN_M-6",93.0137225772601
2010-08-01,2010-09-01,"QTY_TOTAL_PER_CMD_MAX_M-6",97.5506658826308
2010-08-01,2010-09-01,"NB_PROD_PER_CMD_MOY_M-6",85.7184392591541
2010-08-01,2010-09-01,"NB_PROD_PER_CMD_MIN_M-6",67.894006845066
2010-08-01,2010-09-01,"NB_PROD_PER_CMD_MAX_M-6",77.1007479539854
2010-08-01,2010-09-01,"FREQ_ACHAT_M-6",33.0611339880396
2010-08-01,2010-09-01,"NB_SKU_M-6",91.3291762935336
2010-08-01,2010-09-01,"ITEM_PRICE_MAX_M-6",97.8581550454784
2010-08-01,2010-09-01,"EXPENSES_M-6",106.606990963232
2010-08-01,2010-09-01,"NB_CANCELLED_M-6",39.3701915226982
2010-08-01,2010-09-01,"EXPENSES_CANCELLED_M-6",51.3590170901182
2010-08-01,2010-09-01,"PCT_EXP_CANCELLED_M-6",59.6378849272224
2010-08-01,2010-09-01,"NB_CMD_MOST_FREQ_M-6",25.5335969933964
2010-08-01,2010-09-01,"NB_SKU_FREQ_M-6",50.4927175286413
2010-08-01,2010-09-01,"PCT_SKU_FREQ_M-6",66.1463465572317
2010-08-01,2010-09-01,"EXPENSES_FREQ_M-6",70.2898370460452
2010-08-01,2010-09-01,"PCT_EXP_FREQ_M-6",65.9324971736191
2010-09-01,2010-10-01,"BASKET_PRICE_MEAN_M-6",151.080271478107
2010-09-01,2010-10-01,"BASKET_PRICE_MIN_M-6",166.911193817559
2010-09-01,2010-10-01,"BASKET_PRICE_MAX_M-6",131.901893235776
2010-09-01,2010-10-01,"NB_BASKETS_M-6",21.3199685347352
2010-09-01,2010-10-01,"QTY_TOTAL_PER_CMD_MOY_M-6",162.054797680915
2010-09-01,2010-10-01,"QTY_TOTAL_PER_CMD_MIN_M-6",149.604010617169
2010-09-01,2010-10-01,"QTY_TOTAL_PER_CMD_MAX_M-6",154.71039420037
2010-09-01,2010-10-01,"NB_PROD_PER_CMD_MOY_M-6",107.660553075177
2010-09-01,2010-10-01,"NB_PROD_PER_CMD_MIN_M-6",87.6757019558927
2010-09-01,2010-10-01,"NB_PROD_PER_CMD_MAX_M-6",87.7224237270695
2010-09-01,2010-10-01,"FREQ_ACHAT_M-6",23.1188174195923
2010-09-01,2010-10-01,"NB_SKU_M-6",126.468482197079
2010-09-01,2010-10-01,"ITEM_PRICE_MAX_M-6",225.38458383894
2010-09-01,2010-10-01,"EXPENSES_M-6",171.320073186981
2010-09-01,2010-10-01,"NB_CANCELLED_M-6",46.5349995715363
2010-09-01,2010-10-01,"EXPENSES_CANCELLED_M-6",61.3032155093888
2010-09-01,2010-10-01,"PCT_EXP_CANCELLED_M-6",68.0287491919337
2010-09-01,2010-10-01,"NB_CMD_MOST_FREQ_M-6",16.7848096516015
2010-09-01,2010-10-01,"NB_SKU_FREQ_M-6",45.9507310519832
2010-09-01,2010-10-01,"PCT_SKU_FREQ_M-6",91.7968342625702
2010-09-01,2010-10-01,"EXPENSES_FREQ_M-6",75.2391772542086
2010-09-01,2010-10-01,"PCT_EXP_FREQ_M-6",83.3257663378151
2010-10-01,2010-11-01,"BASKET_PRICE_MEAN_M-6",136.378228959021
2010-10-01,2010-11-01,"BASKET_PRICE_MIN_M-6",131.668901834623
2010-10-01,2010-11-01,"BASKET_PRICE_MAX_M-6",124.024042296893
2010-10-01,2010-11-01,"NB_BASKETS_M-6",37.7079575911163
2010-10-01,2010-11-01,"QTY_TOTAL_PER_CMD_MOY_M-6",133.092913343658
2010-10-01,2010-11-01,"QTY_TOTAL_PER_CMD_MIN_M-6",126.455932256933
2010-10-01,2010-11-01,"QTY_TOTAL_PER_CMD_MAX_M-6",126.808089371542
2010-10-01,2010-11-01,"NB_PROD_PER_CMD_MOY_M-6",110.352299284519
2010-10-01,2010-11-01,"NB_PROD_PER_CMD_MIN_M-6",88.073910243251
2010-10-01,2010-11-01,"NB_PROD_PER_CMD_MAX_M-6",99.1642520327345
2010-10-01,2010-11-01,"FREQ_ACHAT_M-6",38.1959857683857
2010-10-01,2010-11-01,"NB_SKU_M-6",107.284262876435
2010-10-01,2010-11-01,"ITEM_PRICE_MAX_M-6",126.819398572289
2010-10-01,2010-11-01,"EXPENSES_M-6",132.963464662091
2010-10-01,2010-11-01,"NB_CANCELLED_M-6",46.0338544873228
2010-10-01,2010-11-01,"EXPENSES_CANCELLED_M-6",62.8560180830909
2010-10-01,2010-11-01,"PCT_EXP_CANCELLED_M-6",65.4737254601952
2010-10-01,2010-11-01,"NB_CMD_MOST_FREQ_M-6",29.0712222672875
2010-10-01,2010-11-01,"NB_SKU_FREQ_M-6",61.2666827997076
2010-10-01,2010-11-01,"PCT_SKU_FREQ_M-6",80.1978538934299
2010-10-01,2010-11-01,"EXPENSES_FREQ_M-6",79.6380861174236
2010-10-01,2010-11-01,"PCT_EXP_FREQ_M-6",83.4654594886377
2010-11-01,2010-12-01,"BASKET_PRICE_MEAN_M-6",156.640306816218
2010-11-01,2010-12-01,"BASKET_PRICE_MIN_M-6",157.065830531022
2010-11-01,2010-12-01,"BASKET_PRICE_MAX_M-6",153.150118110271
2010-11-01,2010-12-01,"NB_BASKETS_M-6",43.7013270353568
2010-11-01,2010-12-01,"QTY_TOTAL_PER_CMD_MOY_M-6",152.902074717846
2010-11-01,2010-12-01,"QTY_TOTAL_PER_CMD_MIN_M-6",145.114729617438
2010-11-01,2010-12-01,"QTY_TOTAL_PER_CMD_MAX_M-6",149.560595626226
2010-11-01,2010-12-01,"NB_PROD_PER_CMD_MOY_M-6",127.296202869414
2010-11-01,2010-12-01,"NB_PROD_PER_CMD_MIN_M-6",101.485627507266
2010-11-01,2010-12-01,"NB_PROD_PER_CMD_MAX_M-6",120.899043020781
2010-11-01,2010-12-01,"FREQ_ACHAT_M-6",40.7584700547738
2010-11-01,2010-12-01,"NB_SKU_M-6",127.067878203752
2010-11-01,2010-12-01,"ITEM_PRICE_MAX_M-6",151.063763313249
2010-11-01,2010-12-01,"EXPENSES_M-6",155.355390658501
2010-11-01,2010-12-01,"NB_CANCELLED_M-6",48.4999511233446
2010-11-01,2010-12-01,"EXPENSES_CANCELLED_M-6",74.0233283360727
2010-11-01,2010-12-01,"PCT_EXP_CANCELLED_M-6",69.8172806921637
2010-11-01,2010-12-01,"NB_CMD_MOST_FREQ_M-6",27.8347023999445
2010-11-01,2010-12-01,"NB_SKU_FREQ_M-6",63.4534575854497
2010-11-01,2010-12-01,"PCT_SKU_FREQ_M-6",80.5153397354082
2010-11-01,2010-12-01,"EXPENSES_FREQ_M-6",82.6447021267478
2010-11-01,2010-12-01,"PCT_EXP_FREQ_M-6",86.2936078867859
2010-12-01,2011-01-01,"BASKET_PRICE_MEAN_M-6",167.227134811773
2010-12-01,2011-01-01,"BASKET_PRICE_MIN_M-6",161.81550609582
2010-12-01,2011-01-01,"BASKET_PRICE_MAX_M-6",153.776011547252
2010-12-01,2011-01-01,"NB_BASKETS_M-6",40.5966061438066
2010-12-01,2011-01-01,"QTY_TOTAL_PER_CMD_MOY_M-6",159.325466907118
2010-12-01,2011-01-01,"QTY_TOTAL_PER_CMD_MIN_M-6",152.427912618757
2010-12-01,2011-01-01,"QTY_TOTAL_PER_CMD_MAX_M-6",162.609150063464
2010-12-01,2011-01-01,"NB_PROD_PER_CMD_MOY_M-6",131.496504675552
2010-12-01,2011-01-01,"NB_PROD_PER_CMD_MIN_M-6",117.091455277813
2010-12-01,2011-01-01,"NB_PROD_PER_CMD_MAX_M-6",125.184839023967
2010-12-01,2011-01-01,"FREQ_ACHAT_M-6",44.5871705501498
2010-12-01,2011-01-01,"NB_SKU_M-6",135.43448078623
2010-12-01,2011-01-01,"ITEM_PRICE_MAX_M-6",160.88802390783
2010-12-01,2011-01-01,"EXPENSES_M-6",171.422944986844
2010-12-01,2011-01-01,"NB_CANCELLED_M-6",49.3007742676126
2010-12-01,2011-01-01,"EXPENSES_CANCELLED_M-6",74.4745006436653
2010-12-01,2011-01-01,"PCT_EXP_CANCELLED_M-6",78.6940883953053
2010-12-01,2011-01-01,"NB_CMD_MOST_FREQ_M-6",31.8070763729713
2010-12-01,2011-01-01,"NB_SKU_FREQ_M-6",66.0946491300338
2010-12-01,2011-01-01,"PCT_SKU_FREQ_M-6",92.0265931374015
2010-12-01,2011-01-01,"EXPENSES_FREQ_M-6",88.1601664320768
2010-12-01,2011-01-01,"PCT_EXP_FREQ_M-6",91.4316711898044
2011-01-01,2011-02-01,"BASKET_PRICE_MEAN_M-6",170.508707182638
2011-01-01,2011-02-01,"BASKET_PRICE_MIN_M-6",170.830805490378
2011-01-01,2011-02-01,"BASKET_PRICE_MAX_M-6",174.433548826779
2011-01-01,2011-02-01,"NB_BASKETS_M-6",41.7704212062729
2011-01-01,2011-02-01,"QTY_TOTAL_PER_CMD_MOY_M-6",166.050558090895
2011-01-01,2011-02-01,"QTY_TOTAL_PER_CMD_MIN_M-6",158.376797532332
2011-01-01,2011-02-01,"QTY_TOTAL_PER_CMD_MAX_M-6",161.18428650351
2011-01-01,2011-02-01,"NB_PROD_PER_CMD_MOY_M-6",143.642793709683
2011-01-01,2011-02-01,"NB_PROD_PER_CMD_MIN_M-6",114.748460744268
2011-01-01,2011-02-01,"NB_PROD_PER_CMD_MAX_M-6",131.085483872234
2011-01-01,2011-02-01,"FREQ_ACHAT_M-6",42.2227970541712
2011-01-01,2011-02-01,"NB_SKU_M-6",141.306862354841
2011-01-01,2011-02-01,"ITEM_PRICE_MAX_M-6",174.48907848314
2011-01-01,2011-02-01,"EXPENSES_M-6",168.678263198976
2011-01-01,2011-02-01,"NB_CANCELLED_M-6",51.0242956147834
2011-01-01,2011-02-01,"EXPENSES_CANCELLED_M-6",76.5552797328111
2011-01-01,2011-02-01,"PCT_EXP_CANCELLED_M-6",82.3218223295555
2011-01-01,2011-02-01,"NB_CMD_MOST_FREQ_M-6",32.0770483367803
2011-01-01,2011-02-01,"NB_SKU_FREQ_M-6",69.2132032520466
2011-01-01,2011-02-01,"PCT_SKU_FREQ_M-6",86.4447244846935
2011-01-01,2011-02-01,"EXPENSES_FREQ_M-6",88.991145176426
2011-01-01,2011-02-01,"PCT_EXP_FREQ_M-6",92.2300614061097
2011-02-01,2011-03-01,"BASKET_PRICE_MEAN_M-6",166.649789828037
2011-02-01,2011-03-01,"BASKET_PRICE_MIN_M-6",163.885610880275
2011-02-01,2011-03-01,"BASKET_PRICE_MAX_M-6",174.704592384937
2011-02-01,2011-03-01,"NB_BASKETS_M-6",42.657103095264
2011-02-01,2011-03-01,"QTY_TOTAL_PER_CMD_MOY_M-6",163.098656598874
2011-02-01,2011-03-01,"QTY_TOTAL_PER_CMD_MIN_M-6",162.163426342503
2011-02-01,2011-03-01,"QTY_TOTAL_PER_CMD_MAX_M-6",166.346041102989
2011-02-01,2011-03-01,"NB_PROD_PER_CMD_MOY_M-6",137.048294192695
2011-02-01,2011-03-01,"NB_PROD_PER_CMD_MIN_M-6",116.764550834702
2011-02-01,2011-03-01,"NB_PROD_PER_CMD_MAX_M-6",136.588354552949
2011-02-01,2011-03-01,"FREQ_ACHAT_M-6",40.2992527340703
2011-02-01,2011-03-01,"NB_SKU_M-6",144.461952192567
2011-02-01,2011-03-01,"ITEM_PRICE_MAX_M-6",164.386020629001
2011-02-01,2011-03-01,"EXPENSES_M-6",167.003372752721
2011-02-01,2011-03-01,"NB_CANCELLED_M-6",51.7142213797273
2011-02-01,2011-03-01,"EXPENSES_CANCELLED_M-6",75.7064396109548
2011-02-01,2011-03-01,"PCT_EXP_CANCELLED_M-6",75.7774057833827
2011-02-01,2011-03-01,"NB_CMD_MOST_FREQ_M-6",32.6253370463214
2011-02-01,2011-03-01,"NB_SKU_FREQ_M-6",68.0191145569627
2011-02-01,2011-03-01,"PCT_SKU_FREQ_M-6",81.4527946335169
2011-02-01,2011-03-01,"EXPENSES_FREQ_M-6",90.1181342681179
2011-02-01,2011-03-01,"PCT_EXP_FREQ_M-6",89.7481776831623
2011-03-01,2011-04-01,"BASKET_PRICE_MEAN_M-6",168.909049107763
2011-03-01,2011-04-01,"BASKET_PRICE_MIN_M-6",170.642964034231
2011-03-01,2011-04-01,"BASKET_PRICE_MAX_M-6",172.21078124926
2011-03-01,2011-04-01,"NB_BASKETS_M-6",43.9793337214828
2011-03-01,2011-04-01,"QTY_TOTAL_PER_CMD_MOY_M-6",166.986968484295
2011-03-01,2011-04-01,"QTY_TOTAL_PER_CMD_MIN_M-6",159.056600884647
2011-03-01,2011-04-01,"QTY_TOTAL_PER_CMD_MAX_M-6",161.837283648346
2011-03-01,2011-04-01,"NB_PROD_PER_CMD_MOY_M-6",140.269557491494
2011-03-01,2011-04-01,"NB_PROD_PER_CMD_MIN_M-6",114.545227730711
2011-03-01,2011-04-01,"NB_PROD_PER_CMD_MAX_M-6",134.715114445882
2011-03-01,2011-04-01,"FREQ_ACHAT_M-6",43.5564660778205
2011-03-01,2011-04-01,"NB_SKU_M-6",133.243924798761
2011-03-01,2011-04-01,"ITEM_PRICE_MAX_M-6",168.396601932517
2011-03-01,2011-04-01,"EXPENSES_M-6",165.631668685606
2011-03-01,2011-04-01,"NB_CANCELLED_M-6",51.5648264609568
2011-03-01,2011-04-01,"EXPENSES_CANCELLED_M-6",74.5939278209394
2011-03-01,2011-04-01,"PCT_EXP_CANCELLED_M-6",75.7824134834917
2011-03-01,2011-04-01,"NB_CMD_MOST_FREQ_M-6",29.7409176710521
2011-03-01,2011-04-01,"NB_SKU_FREQ_M-6",65.4194693909234
2011-03-01,2011-04-01,"PCT_SKU_FREQ_M-6",82.0193397142419
2011-03-01,2011-04-01,"EXPENSES_FREQ_M-6",84.8194022883288
2011-03-01,2011-04-01,"PCT_EXP_FREQ_M-6",90.7111121783022
2011-04-01,2011-05-01,"BASKET_PRICE_MEAN_M-6",209.16325877807
2011-04-01,2011-05-01,"BASKET_PRICE_MIN_M-6",181.317185499949
2011-04-01,2011-05-01,"BASKET_PRICE_MAX_M-6",225.272617995832
2011-04-01,2011-05-01,"NB_BASKETS_M-6",58.190182498076
2011-04-01,2011-05-01,"QTY_TOTAL_PER_CMD_MOY_M-6",176.436380811862
2011-04-01,2011-05-01,"QTY_TOTAL_PER_CMD_MIN_M-6",150.63194514932
2011-04-01,2011-05-01,"QTY_TOTAL_PER_CMD_MAX_M-6",180.376040137229
